"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test negative scenario: Create book with invalid data","307","testCreateBookInvalidData","Bookstore API Test Suite","Thu Jul 31 19:27:45 IST 2025","failed","Thu Jul 31 19:27:45 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBookInvalidData"
"Test negative scenario: Get non-existent book","10","testGetNonExistentBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testGetNonExistentBook"
"Test negative scenario: Create book with malformed JSON","199","testCreateBookMalformedJson","Bookstore API Test Suite","Thu Jul 31 19:27:45 IST 2025","passed","Thu Jul 31 19:27:45 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBookMalformedJson"
"Test retrieving a book by ID","16","testGetBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testGetBook"
"Test negative scenario: Create book with zero price","8","testCreateBookZeroPrice","Bookstore API Test Suite","Thu Jul 31 19:27:45 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBookZeroPrice"
"Test negative scenario: Delete non-existent book","11","testDeleteNonExistentBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testDeleteNonExistentBook"
"Test negative scenario: Access invalid endpoint","8","testInvalidEndpoint","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testInvalidEndpoint"
"Test negative scenario: Create book with missing title","10","testCreateBookMissingTitle","Bookstore API Test Suite","Thu Jul 31 19:27:45 IST 2025","passed","Thu Jul 31 19:27:45 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBookMissingTitle"
"Test deleting a book","3","testDeleteBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testDeleteBook"
"Test negative scenario: Create book with missing author","11","testCreateBookMissingAuthor","Bookstore API Test Suite","Thu Jul 31 19:27:45 IST 2025","passed","Thu Jul 31 19:27:45 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBookMissingAuthor"
"Test updating a book","14","testUpdateBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testUpdateBook"
"Test creating a new book","24","testCreateBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testCreateBook"
"Test negative scenario: Use invalid HTTP method","9","testInvalidMethod","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testInvalidMethod"
"Test negative scenario: Update non-existent book","8","testUpdateNonExistentBook","Bookstore API Test Suite","Thu Jul 31 19:27:46 IST 2025","passed","Thu Jul 31 19:27:46 IST 2025","com.bookstore.api.tests.BookstoreApiTests","API Tests","com.bookstore.api.tests.BookstoreApiTests","testUpdateNonExistentBook"
